kind,name,mean_ns,p50_ns,p95_ns,max_ns,total,per_frame
meta,total_frames,,,,,,1200,
meta,frames_over_20ms,,,,,,15,
meta,eff_fps,,,,,,104.989,
stage,frame,9524818,4633000,5213000,5535361000,,
stage,async,281490,1000,155000,85867000,,
stage,logic,610480,69000,440000,118470000,,
stage,cs2,542997,0,337000,118296000,,
stage,layout,362,0,1000,158000,,
stage,interact,17803,17000,24000,621000,,
stage,emit,159930,162000,275000,889000,,
stage,paint,550584,618000,665000,2042000,,
stage,build,550770,618000,666000,2042000,,
stage,render,2988416,3317000,3601000,13735000,,
stage,present,139791,137000,150000,596000,,
stage,server,83593,1000,2000,94325000,,
counter,uitree_find_id,,,,,813854,678.211667
counter,uitree_find_id_probes,,,,,1952474,1627.061667
counter,uitree_find_id_linear,,,,,0,0.000000
counter,uitree_id_rebuild,,,,,606,0.505000
counter,uitree_find_child,,,,,26162,21.801667
counter,uitree_find_child_hit,,,,,15861,13.217500
counter,uitree_find_child_ceil_miss,,,,,9667,8.055833
counter,uitree_walk_emit,,,,,3300510,2750.425000
counter,uitree_walk_emit_drag,,,,,0,0.000000
counter,uitree_walk_hit,,,,,679210,566.008333
counter,uitree_walk_hover,,,,,108535,90.445833
counter,uitree_walk_drop,,,,,0,0.000000
counter,uitree_emit_skip,,,,,2971196,2475.996667
counter,uitree_layout_resolve,,,,,893,0.744167
counter,uitree_layout_skip,,,,,435,0.362500
counter,uitree_layout_nodes,,,,,3112481,2593.734167
counter,uitree_layout_node_skip,,,,,2995601,2496.334167
counter,uitree_layout_depth_recompute,,,,,444,0.370000
counter,uitree_ensure_layout,,,,,20860,17.383333
counter,uitree_cc_create,,,,,10183,8.485833
counter,uitree_cc_delete,,,,,0,0.000000
counter,uitree_cc_deleteall,,,,,691,0.575833
counter,uitree_cc_deleteall_rows,,,,,4020,3.350000
counter,uitree_apply_geo,,,,,25639,21.365833
counter,uitree_apply_content,,,,,29867,24.889167
counter,uitree_apply_hook,,,,,7450,6.208333
counter,uitree_apply_other,,,,,570401,475.334167
counter,uitree_key_scan,,,,,0,0.000000
counter,uitree_key_scan_nodes,,,,,0,0.000000
counter,uitree_components,,,,,7816930,6514.108333
counter,uitree_capacity,,,,,8722432,7268.693333
counter,uitree_free_list,,,,,0,0.000000
counter,uitree_node_bytes,,,,,18142658560,15118882.133333
counter,cs2_scripts,,,,,10574,8.811667
counter,cs2_opcodes,,,,,2261986,1884.988333
