kind,name,mean_ns,p50_ns,p95_ns,max_ns,total,per_frame
meta,total_frames,,,,,6000,
meta,frames_over_20ms,,,,,3,
meta,eff_fps,,,,,258.885,
stage,frame,3862724,3619100,5344400,9714300,,
stage,async,120,100,300,800,,
stage,logic,27798,21300,69300,133300,,
stage,cs2,6048,0,31600,62600,,
stage,layout,123,0,500,24000,,
stage,interact,7930,6600,16100,128700,,
stage,emit,9106,7500,19900,169700,,
stage,paint,929478,847800,1426700,2720800,,
stage,build,929643,848000,1427000,2721000,,
stage,render,2249868,2052700,3323800,7008300,,
stage,pick_finish,13230,13000,21400,92600,,
stage,present,482873,441700,689600,1698600,,
stage,server,0,0,0,0,,
stage,platform_poll,64331,74900,145200,335900,,
stage,command_drain,533,500,1200,2000,,
stage,app_run,84995,65300,171500,365700,,
stage,frame_post,30525,24800,61900,359200,,
stage,input_prep,67244,77500,148800,339400,,
stage,surface_sync,164,100,400,900,,
stage,display,3678496,3442000,5055100,9325800,,
stage,window_sync,202,200,500,1300,,
cpu,main_thread,3447252,3218995,4734172,9007509,,
cpu_info,cycle_normalized_estimate,,,,,,
cpu_raw,main_thread_calibration_clock_total,,,,,7062500000,3448486.328125
counter,uitree_find_id,,,,,1096180,535.244141
counter,uitree_find_id_probes,,,,,1185712,578.960938
counter,uitree_find_id_linear,,,,,0,0.000000
counter,uitree_id_rebuild,,,,,0,0.000000
counter,uitree_find_child,,,,,50,0.024414
counter,uitree_find_child_hit,,,,,10,0.004883
counter,uitree_find_child_ceil_miss,,,,,30,0.014648
counter,uitree_walk_emit,,,,,229376,112.000000
counter,uitree_walk_emit_drag,,,,,0,0.000000
counter,uitree_walk_hit,,,,,563200,275.000000
counter,uitree_walk_hover,,,,,86016,42.000000
counter,uitree_walk_drop,,,,,0,0.000000
counter,uitree_emit_skip,,,,,200704,98.000000
counter,uitree_layout_resolve,,,,,396,0.193359
counter,uitree_layout_skip,,,,,386,0.188477
counter,uitree_layout_nodes,,,,,10720,5.234375
counter,uitree_layout_node_skip,,,,,10700,5.224609
counter,uitree_layout_depth_recompute,,,,,0,0.000000
counter,uitree_ensure_layout,,,,,3652,1.783203
counter,uitree_cc_create,,,,,0,0.000000
counter,uitree_cc_delete,,,,,0,0.000000
counter,uitree_cc_deleteall,,,,,0,0.000000
