kind,name,mean_ns,p50_ns,p95_ns,max_ns,total,per_frame
meta,total_frames,,,,,,600,
meta,frames_over_20ms,,,,,,14,
meta,eff_fps,,,,,,46.001,
stage,frame,21738516,7072000,8555000,4834619000,,
stage,async,383585,89000,317000,87094000,,
stage,logic,7459090,153000,550000,1319478000,,
stage,cs2,7331978,0,354000,1319216000,,
stage,layout,119123,0,520000,844000,,
stage,interact,18611,18000,30000,38000,,
stage,emit,307568,361000,468000,630000,,
stage,paint,686586,839000,921000,1171000,,
stage,build,686728,839000,922000,1171000,,
stage,render,2708906,3257000,3740000,4483000,,
stage,present,229681,227000,248000,513000,,
counter,uitree_find_id,,,,,454382,757.303333
counter,uitree_find_id_probes,,,,,1388627,2314.378333
counter,uitree_find_id_linear,,,,,0,0.000000
counter,uitree_id_rebuild,,,,,41,0.068333
counter,uitree_find_child,,,,,23880,39.800000
counter,uitree_find_child_hit,,,,,12365,20.608333
counter,uitree_find_child_ceil_miss,,,,,10949,18.248333
counter,uitree_walk_emit,,,,,1384615,2307.691667
counter,uitree_walk_emit_drag,,,,,1696615,2827.691667
counter,uitree_walk_hit,,,,,347620,579.366667
counter,uitree_walk_hover,,,,,54960,91.600000
counter,uitree_walk_drop,,,,,0,0.000000
counter,uitree_emit_skip,,,,,2547789,4246.315000
counter,uitree_layout_resolve,,,,,1045,1.741667
counter,uitree_layout_nodes,,,,,6801505,11335.841667
counter,uitree_layout_depth_recompute,,,,,272,0.453333
counter,uitree_ensure_layout,,,,,15014,25.023333
counter,uitree_cc_create,,,,,8186,13.643333
counter,uitree_cc_delete,,,,,3,0.005000
counter,uitree_cc_deleteall,,,,,429,0.715000
counter,uitree_cc_deleteall_rows,,,,,2738,4.563333
counter,uitree_apply_geo,,,,,19565,32.608333
counter,uitree_apply_content,,,,,21523,35.871667
counter,uitree_apply_hook,,,,,6027,10.045000
counter,uitree_apply_other,,,,,276557,460.928333
counter,uitree_key_scan,,,,,0,0.000000
counter,uitree_key_scan_nodes,,,,,0,0.000000
counter,uitree_components,,,,,3430136,5716.893333
counter,uitree_capacity,,,,,3993600,6656.000000
counter,uitree_free_list,,,,,593,0.988333
counter,uitree_node_bytes,,,,,47571763200,79286272.000000
counter,cs2_scripts,,,,,9074,15.123333
counter,cs2_opcodes,,,,,1901750,3169.583333
counter,cs2_host_ops,,,,,258142,430.236667
counter,cs2_cycles,,,,,1901750,3169.583333
counter,cs2_aborts,,,,,0,0.000000
counter,cs2_vm_acquire,,,,,7007,11.678333
counter,cs2_vm_pool_hit,,,,,7005,11.675000
counter,cs2_vm_pool_miss,,,,,2,0.003333
counter,cs2_vm_init_ns,,,,,5108000,8513.333333
counter,cache_model_hit,,,,,25039,41.731667
counter,cache_model_miss,,,,,2193,3.655000
counter,cache_model_evict,,,,,0,0.000000
counter,cache_sprite_hit,,,,,2517,4.195000
counter,cache_sprite_miss,,,,,911,1.518333
counter,cache_sprite_evict,,,,,0,0.000000
counter,cache_texture_hit,,,,,0,0.000000
counter,cache_texture_miss,,,,,0,0.000000
counter,cache_objtype_hit,,,,,0,0.000000
counter,cache_objtype_miss,,,,,0,0.000000
counter,cache_npctype_hit,,,,,0,0.000000
counter,cache_npctype_miss,,,,,0,0.000000
counter,cache_loc_hit,,,,,0,0.000000
counter,cache_loc_miss,,,,,0,0.000000
counter,cache_other_hit,,,,,0,0.000000
counter,cache_other_miss,,,,,0,0.000000
counter,cache_group_hit,,,,,0,0.000000
counter,cache_group_miss,,,,,0,0.000000
counter,cache_group_evict,,,,,0,0.000000
counter,cache_archive_hit,,,,,0,0.000000
counter,cache_archive_miss,,,,,0,0.000000
counter,cache_archive_evict,,,,,0,0.000000
counter,model_inst_hit,,,,,0,0.000000
counter,model_inst_miss,,,,,0,0.000000
counter,model_inst_evict,,,,,0,0.000000
