kind,name,mean_ns,p50_ns,p95_ns,max_ns,total,per_frame
meta,total_frames,,,,,,900,
meta,frames_over_20ms,,,,,,11,
meta,eff_fps,,,,,,80.211,
stage,frame,12467052,4623000,5122000,4620149000,,
stage,async,213591,1000,209000,78717000,,
stage,logic,832283,156000,324000,265655000,,
stage,cs2,712420,0,193000,265262000,,
stage,layout,406,0,0,132000,,
stage,interact,13771,13000,19000,45000,,
stage,emit,78813,82000,127000,278000,,
stage,paint,2505431,257000,301000,2053589000,,
stage,build,2505500,257000,301000,2053589000,,
stage,render,2142883,2509000,2740000,3262000,,
stage,present,135874,130000,181000,337000,,
counter,uitree_find_id,,,,,591895,657.661111
counter,uitree_find_id_probes,,,,,1501377,1668.196667
counter,uitree_find_id_linear,,,,,0,0.000000
counter,uitree_id_rebuild,,,,,43,0.047778
counter,uitree_find_child,,,,,23504,26.115556
counter,uitree_find_child_hit,,,,,12134,13.482222
counter,uitree_find_child_ceil_miss,,,,,10803,12.003333
counter,uitree_walk_emit,,,,,2196296,2440.328889
counter,uitree_walk_emit_drag,,,,,0,0.000000
counter,uitree_walk_hit,,,,,548830,609.811111
counter,uitree_walk_hover,,,,,85044,94.493333
counter,uitree_walk_drop,,,,,0,0.000000
counter,uitree_emit_skip,,,,,2079701,2310.778889
counter,uitree_layout_resolve,,,,,582,0.646667
counter,uitree_layout_skip,,,,,295,0.327778
counter,uitree_layout_nodes,,,,,1795286,1994.762222
counter,uitree_layout_node_skip,,,,,1708520,1898.355556
counter,uitree_layout_depth_recompute,,,,,275,0.305556
counter,uitree_ensure_layout,,,,,14197,15.774444
counter,uitree_cc_create,,,,,8188,9.097778
counter,uitree_cc_delete,,,,,3,0.003333
counter,uitree_cc_deleteall,,,,,433,0.481111
counter,uitree_cc_deleteall_rows,,,,,2740,3.044444
counter,uitree_apply_geo,,,,,20550,22.833333
counter,uitree_apply_content,,,,,22401,24.890000
counter,uitree_apply_hook,,,,,5684,6.315556
counter,uitree_apply_other,,,,,417986,464.428889
counter,uitree_key_scan,,,,,0,0.000000
counter,uitree_key_scan_nodes,,,,,0,0.000000
counter,uitree_components,,,,,5428743,6031.936667
counter,uitree_capacity,,,,,6305792,7006.435556
counter,uitree_free_list,,,,,888,0.986667
counter,uitree_node_bytes,,,,,10845962240,12051069.155556
counter,cs2_scripts,,,,,8651,9.612222
counter,cs2_opcodes,,,,,1769428,1966.031111
counter,cs2_host_ops,,,,,242929,269.921111
counter,cs2_cycles,,,,,1769428,1966.031111
counter,cs2_aborts,,,,,0,0.000000
counter,cs2_vm_acquire,,,,,6587,7.318889
counter,cs2_vm_pool_hit,,,,,6585,7.316667
counter,cs2_vm_pool_miss,,,,,2,0.002222
counter,cs2_vm_init_ns,,,,,4941000,5490.000000
counter,cs2_frame_pool_hit,,,,,13908,15.453333
counter,cs2_frame_pool_miss,,,,,11,0.012222
counter,cache_model_hit,,,,,25060,27.844444
counter,cache_model_miss,,,,,2193,2.436667
counter,cache_model_evict,,,,,0,0.000000
counter,cache_sprite_hit,,,,,2534,2.815556
counter,cache_sprite_miss,,,,,911,1.012222
counter,cache_sprite_evict,,,,,0,0.000000
counter,cache_texture_hit,,,,,0,0.000000
counter,cache_texture_miss,,,,,0,0.000000
counter,cache_objtype_hit,,,,,0,0.000000
counter,cache_objtype_miss,,,,,0,0.000000
counter,cache_npctype_hit,,,,,0,0.000000
counter,cache_npctype_miss,,,,,0,0.000000
counter,cache_loc_hit,,,,,0,0.000000
counter,cache_loc_miss,,,,,0,0.000000
counter,cache_other_hit,,,,,0,0.000000
counter,cache_other_miss,,,,,0,0.000000
counter,cache_group_hit,,,,,0,0.000000
counter,cache_group_miss,,,,,0,0.000000
counter,cache_group_evict,,,,,0,0.000000
counter,cache_archive_hit,,,,,0,0.000000
counter,cache_archive_miss,,,,,0,0.000000
counter,cache_archive_evict,,,,,0,0.000000
counter,model_inst_hit,,,,,0,0.000000
counter,model_inst_miss,,,,,0,0.000000
counter,model_inst_evict,,,,,0,0.000000
counter,painter_pops,,,,,4966889,5518.765556
counter,painter_gate_rejects,,,,,2161203,2401.336667
counter,painter_pushes,,,,,4966889,5518.765556
counter,painter_push_dedup,,,,,2209864,2455.404444
counter,painter_drain_events,,,,,1726,1.917778
counter,painter_commands,,,,,3365554,3739.504444
counter,painter_tiles_remaining_set,,,,,2587433,2874.925556
