kind,name,mean_ns,p50_ns,p95_ns,max_ns,total,per_frame
meta,total_frames,,,,,,900,
meta,frames_over_20ms,,,,,,14,
meta,eff_fps,,,,,,59.652,
stage,frame,16763945,6878000,8070000,5023768000,,
stage,async,247335,67000,309000,83363000,,
stage,logic,4962895,173000,403000,1315037000,,
stage,cs2,4816304,0,222000,1314788000,,
stage,layout,3142,0,1000,745000,,
stage,interact,16812,17000,24000,43000,,
stage,emit,315336,345000,430000,3013000,,
stage,paint,736826,839000,938000,1975000,,
stage,build,736988,839000,938000,1975000,,
stage,render,2901073,3249000,3759000,4422000,,
stage,present,227912,224000,265000,318000,,
counter,uitree_find_id,,,,,601937,668.818889
counter,uitree_find_id_probes,,,,,1663219,1848.021111
counter,uitree_find_id_linear,,,,,0,0.000000
counter,uitree_id_rebuild,,,,,33,0.036667
counter,uitree_find_child,,,,,22817,25.352222
counter,uitree_find_child_hit,,,,,10767,11.963333
counter,uitree_find_child_ceil_miss,,,,,11500,12.777778
counter,uitree_walk_emit,,,,,2232664,2480.737778
counter,uitree_walk_emit_drag,,,,,2736413,3040.458889
counter,uitree_walk_hit,,,,,557345,619.272222
counter,uitree_walk_hover,,,,,85850,95.388889
counter,uitree_walk_drop,,,,,0,0.000000
counter,uitree_emit_skip,,,,,4111268,4568.075556
counter,uitree_layout_resolve,,,,,1541,1.712222
counter,uitree_layout_skip,,,,,379,0.421111
counter,uitree_layout_nodes,,,,,7969920,8855.466667
counter,uitree_layout_depth_recompute,,,,,367,0.407778
counter,uitree_ensure_layout,,,,,20179,22.421111
counter,uitree_cc_create,,,,,7274,8.082222
counter,uitree_cc_delete,,,,,3,0.003333
counter,uitree_cc_deleteall,,,,,508,0.564444
counter,uitree_cc_deleteall_rows,,,,,1829,2.032222
counter,uitree_apply_geo,,,,,20644,22.937778
counter,uitree_apply_content,,,,,22171,24.634444
counter,uitree_apply_hook,,,,,5668,6.297778
counter,uitree_apply_other,,,,,421952,468.835556
counter,uitree_key_scan,,,,,0,0.000000
counter,uitree_key_scan_nodes,,,,,0,0.000000
counter,uitree_components,,,,,5521953,6135.503333
counter,uitree_capacity,,,,,6412288,7124.764444
counter,uitree_free_list,,,,,1422,1.580000
counter,uitree_node_bytes,,,,,11029135360,12254594.844444
counter,cs2_scripts,,,,,11845,13.161111
counter,cs2_opcodes,,,,,2014464,2238.293333
counter,cs2_host_ops,,,,,272145,302.383333
counter,cs2_cycles,,,,,2014464,2238.293333
counter,cs2_aborts,,,,,0,0.000000
counter,cs2_vm_acquire,,,,,9790,10.877778
counter,cs2_vm_pool_hit,,,,,9788,10.875556
counter,cs2_vm_pool_miss,,,,,2,0.002222
counter,cs2_vm_init_ns,,,,,7562000,8402.222222
counter,cache_model_hit,,,,,24835,27.594444
counter,cache_model_miss,,,,,2193,2.436667
counter,cache_model_evict,,,,,0,0.000000
counter,cache_sprite_hit,,,,,2477,2.752222
counter,cache_sprite_miss,,,,,911,1.012222
counter,cache_sprite_evict,,,,,0,0.000000
counter,cache_texture_hit,,,,,0,0.000000
counter,cache_texture_miss,,,,,0,0.000000
counter,cache_objtype_hit,,,,,0,0.000000
counter,cache_objtype_miss,,,,,0,0.000000
counter,cache_npctype_hit,,,,,0,0.000000
counter,cache_npctype_miss,,,,,0,0.000000
counter,cache_loc_hit,,,,,0,0.000000
counter,cache_loc_miss,,,,,0,0.000000
counter,cache_other_hit,,,,,0,0.000000
counter,cache_other_miss,,,,,0,0.000000
counter,cache_group_hit,,,,,0,0.000000
counter,cache_group_miss,,,,,0,0.000000
counter,cache_group_evict,,,,,0,0.000000
counter,cache_archive_hit,,,,,0,0.000000
counter,cache_archive_miss,,,,,0,0.000000
counter,cache_archive_evict,,,,,0,0.000000
counter,model_inst_hit,,,,,0,0.000000
counter,model_inst_miss,,,,,0,0.000000
counter,model_inst_evict,,,,,0,0.000000
