kind,name,mean_ns,p50_ns,p95_ns,max_ns,total,per_frame
meta,total_frames,,,,,,900,
meta,frames_over_20ms,,,,,,15,
meta,eff_fps,,,,,,63.027,
stage,frame,15866303,6284000,7242000,4694241000,,
stage,async,255976,75000,286000,82281000,,
stage,logic,4813748,138000,376000,1288172000,,
stage,cs2,4691440,0,203000,1287926000,,
stage,layout,3006,0,1000,594000,,
stage,interact,14292,14000,21000,34000,,
stage,emit,288136,320000,380000,538000,,
stage,paint,708690,805000,900000,989000,,
stage,build,708771,805000,900000,989000,,
stage,render,2672981,3031000,3243000,4093000,,
stage,present,225510,222000,275000,330000,,
counter,uitree_find_id,,,,,610256,678.062222
counter,uitree_find_id_probes,,,,,1663560,1848.400000
counter,uitree_find_id_linear,,,,,0,0.000000
counter,uitree_id_rebuild,,,,,33,0.036667
counter,uitree_find_child,,,,,24486,27.206667
counter,uitree_find_child_hit,,,,,12733,14.147778
counter,uitree_find_child_ceil_miss,,,,,11203,12.447778
counter,uitree_walk_emit,,,,,2247033,2496.703333
counter,uitree_walk_emit_drag,,,,,2754033,3060.036667
counter,uitree_walk_hit,,,,,560620,622.911111
counter,uitree_walk_hover,,,,,86160,95.733333
counter,uitree_walk_drop,,,,,0,0.000000
counter,uitree_emit_skip,,,,,4139076,4598.973333
counter,uitree_layout_resolve,,,,,1513,1.681111
counter,uitree_layout_skip,,,,,361,0.401111
counter,uitree_layout_nodes,,,,,7898032,8775.591111
counter,uitree_layout_depth_recompute,,,,,350,0.388889
counter,uitree_ensure_layout,,,,,19258,21.397778
counter,uitree_cc_create,,,,,7274,8.082222
counter,uitree_cc_delete,,,,,3,0.003333
counter,uitree_cc_deleteall,,,,,491,0.545556
counter,uitree_cc_deleteall_rows,,,,,1829,2.032222
counter,uitree_apply_geo,,,,,20466,22.740000
counter,uitree_apply_content,,,,,22840,25.377778
counter,uitree_apply_hook,,,,,5749,6.387778
counter,uitree_apply_other,,,,,425833,473.147778
counter,uitree_key_scan,,,,,0,0.000000
counter,uitree_key_scan_nodes,,,,,0,0.000000
counter,uitree_components,,,,,5556019,6173.354444
counter,uitree_capacity,,,,,6451200,7168.000000
counter,uitree_free_list,,,,,1379,1.532222
counter,uitree_node_bytes,,,,,11096064000,12328960.000000
counter,cs2_scripts,,,,,11275,12.527778
counter,cs2_opcodes,,,,,2028390,2253.766667
counter,cs2_host_ops,,,,,274155,304.616667
counter,cs2_cycles,,,,,2028390,2253.766667
counter,cs2_aborts,,,,,0,0.000000
counter,cs2_vm_acquire,,,,,9220,10.244444
counter,cs2_vm_pool_hit,,,,,9218,10.242222
counter,cs2_vm_pool_miss,,,,,2,0.002222
counter,cs2_vm_init_ns,,,,,6986000,7762.222222
counter,cache_model_hit,,,,,24835,27.594444
counter,cache_model_miss,,,,,2193,2.436667
counter,cache_model_evict,,,,,0,0.000000
counter,cache_sprite_hit,,,,,2477,2.752222
counter,cache_sprite_miss,,,,,911,1.012222
counter,cache_sprite_evict,,,,,0,0.000000
counter,cache_texture_hit,,,,,0,0.000000
counter,cache_texture_miss,,,,,0,0.000000
counter,cache_objtype_hit,,,,,0,0.000000
counter,cache_objtype_miss,,,,,0,0.000000
counter,cache_npctype_hit,,,,,0,0.000000
counter,cache_npctype_miss,,,,,0,0.000000
counter,cache_loc_hit,,,,,0,0.000000
counter,cache_loc_miss,,,,,0,0.000000
counter,cache_other_hit,,,,,0,0.000000
counter,cache_other_miss,,,,,0,0.000000
counter,cache_group_hit,,,,,0,0.000000
counter,cache_group_miss,,,,,0,0.000000
counter,cache_group_evict,,,,,0,0.000000
counter,cache_archive_hit,,,,,0,0.000000
counter,cache_archive_miss,,,,,0,0.000000
counter,cache_archive_evict,,,,,0,0.000000
counter,model_inst_hit,,,,,0,0.000000
counter,model_inst_miss,,,,,0,0.000000
counter,model_inst_evict,,,,,0,0.000000
