kind,name,mean_ns,p50_ns,p95_ns,max_ns,total,per_frame,window
window_stage,frame,15696782,3966000,7478000,5133075000,,,0
window_stage,async,670090,1000,308000,79887000,,,0
window_stage,logic,1811356,178000,1165000,276486000,,,0
window_stage,cs2,1673248,0,805000,276008000,,,0
window_stage,layout,1302,0,1000,220000,,,0
window_stage,interact,17956,18000,28000,43000,,,0
window_stage,emit,116786,117000,273000,494000,,,0
window_stage,paint,369270,437000,713000,842000,,,0
window_stage,build,369368,437000,714000,844000,,,0
window_stage,render,2065634,2454000,3756000,4306000,,,0
window_stage,present,140752,137000,166000,225000,,,0
window_stage,server,204532,1000,4000,97714000,,,0
window_counter,uitree_find_id,,,,,639519,1279.038000,0
window_counter,uitree_find_id_probes,,,,,2982800,5965.600000,0
window_counter,uitree_id_rebuild,,,,,206,0.412000,0
window_counter,uitree_find_child,,,,,52987,105.974000,0
window_counter,uitree_find_child_hit,,,,,36651,73.302000,0
window_counter,uitree_find_child_ceil_miss,,,,,15435,30.870000,0
window_counter,uitree_walk_emit,,,,,1093886,2187.772000,0
window_counter,uitree_walk_hit,,,,,261648,523.296000,0
window_counter,uitree_walk_hover,,,,,43696,87.392000,0
window_counter,uitree_emit_skip,,,,,1022916,2045.832000,0
window_counter,uitree_layout_resolve,,,,,506,1.012000,0
window_counter,uitree_layout_skip,,,,,242,0.484000,0
window_counter,uitree_layout_nodes,,,,,2061545,4123.090000,0
window_counter,uitree_layout_node_skip,,,,,1824817,3649.634000,0
window_counter,uitree_layout_depth_recompute,,,,,217,0.434000,0
window_counter,uitree_ensure_layout,,,,,10365,20.730000,0
window_counter,uitree_cc_create,,,,,14364,28.728000,0
window_counter,uitree_cc_delete,,,,,2,0.004000,0
window_counter,uitree_cc_deleteall,,,,,606,1.212000,0
window_counter,uitree_cc_deleteall_rows,,,,,6554,13.108000,0
window_counter,uitree_apply_geo,,,,,34798,69.596000,0
window_counter,uitree_apply_content,,,,,42600,85.200000,0
window_counter,uitree_apply_hook,,,,,22803,45.606000,0
window_counter,uitree_apply_other,,,,,246316,492.632000,0
window_gauge,uitree_components,,,,,9708,9708.000000,0
window_gauge,uitree_capacity,,,,,16384,16384.000000,0
window_gauge,uitree_free_list,,,,,1,1.000000,0
window_gauge,uitree_node_bytes,,,,,28442624,28442624.000000,0
window_counter,cs2_scripts,,,,,6592,13.184000,0
window_counter,cs2_opcodes,,,,,3020086,6040.172000,0
window_counter,cs2_host_ops,,,,,438233,876.466000,0
window_counter,cs2_cycles,,,,,3020086,6040.172000,0
window_counter,cs2_aborts,,,,,38,0.076000,0
window_counter,cs2_vm_acquire,,,,,4373,8.746000,0
window_counter,cs2_vm_pool_hit,,,,,4371,8.742000,0
window_counter,cs2_vm_pool_miss,,,,,2,0.004000,0
window_counter,cs2_vm_init_ns,,,,,3351000,6702.000000,0
window_counter,cs2_frame_pool_hit,,,,,14248,28.496000,0
window_counter,cs2_frame_pool_miss,,,,,128,0.256000,0
window_counter,cache_model_hit,,,,,48302,96.604000,0
window_counter,cache_model_miss,,,,,2213,4.426000,0
window_counter,cache_sprite_hit,,,,,3505,7.010000,0
window_counter,cache_sprite_miss,,,,,969,1.938000,0
window_counter,painter_pops,,,,,2314154,4628.308000,0
window_counter,painter_gate_rejects,,,,,1009334,2018.668000,0
window_counter,painter_pushes,,,,,2314154,4628.308000,0
window_counter,painter_push_dedup,,,,,987818,1975.636000,0
window_counter,painter_drain_events,,,,,1372,2.744000,0
window_gauge,painter_commands,,,,,3647,3647.000000,0
window_gauge,painter_tiles_remaining_set,,,,,2916,2916.000000,0
window_gauge,zone_map_count,,,,,48,48.000000,0
window_gauge,zone_map_capacity,,,,,256,256.000000,0
window_gauge,npc_slot_max,,,,,65,65.000000,0
window_counter,iface_open,,,,,31,0.062000,0
window_counter,iface_close,,,,,6,0.012000,0
window_counter,iface_bake,,,,,26,0.052000,0
window_counter,iface_bake_reuse,,,,,5,0.010000,0
window_counter,iface_mount_ns,,,,,9731000,19462.000000,0
window_counter,iface_close_ns,,,,,977000,1954.000000,0
window_counter,uitree_anim_scan,,,,,322,0.644000,0
window_counter,uitree_anim_scan_nodes,,,,,2500266,5000.532000,0
window_counter,uitree_anim_model_nodes,,,,,656,1.312000,0
window_counter,uitree_hook_index_rebuild_nodes,,,,,1112103,2224.206000,0
window_stage,frame,4781956,4252000,6462000,84519000,,,1
window_stage,async,167718,2000,203000,25668000,,,1
window_stage,logic,603414,209000,918000,79769000,,,1
window_stage,cs2,396894,0,720000,79493000,,,1
window_stage,layout,588,0,1000,253000,,,1
window_stage,interact,21840,20000,29000,366000,,,1
window_stage,emit,201716,183000,334000,772000,,,1
window_stage,paint,466200,453000,506000,3019000,,,1
window_stage,build,466348,453000,506000,3020000,,,1
window_stage,render,2888268,2751000,3568000,14282000,,,1
window_stage,present,142120,137000,154000,832000,,,1
window_stage,server,3132,1000,3000,461000,,,1
window_counter,uitree_find_id,,,,,440331,880.662000,1
window_counter,uitree_find_id_probes,,,,,1723008,3446.016000,1
window_counter,uitree_id_rebuild,,,,,139,0.278000,1
window_counter,uitree_find_child,,,,,18330,36.660000,1
window_counter,uitree_find_child_hit,,,,,14443,28.886000,1
window_counter,uitree_find_child_ceil_miss,,,,,3680,7.360000,1
window_counter,uitree_walk_emit,,,,,1619999,3239.998000,1
window_counter,uitree_walk_hit,,,,,355000,710.000000,1
window_counter,uitree_walk_hover,,,,,52500,105.000000,1
window_counter,uitree_emit_skip,,,,,1405851,2811.702000,1
window_counter,uitree_layout_resolve,,,,,331,0.662000,1
window_counter,uitree_layout_skip,,,,,152,0.304000,1
window_counter,uitree_layout_nodes,,,,,1794275,3588.550000,1
window_counter,uitree_layout_node_skip,,,,,1740778,3481.556000,1
window_counter,uitree_layout_depth_recompute,,,,,173,0.346000,1
window_counter,uitree_ensure_layout,,,,,8238,16.476000,1
window_counter,uitree_cc_create,,,,,3630,7.260000,1
window_counter,uitree_cc_delete,,,,,1,0.002000,1
window_counter,uitree_cc_deleteall,,,,,303,0.606000,1
window_counter,uitree_cc_deleteall_rows,,,,,3185,6.370000,1
window_counter,uitree_apply_geo,,,,,17777,35.554000,1
window_counter,uitree_apply_content,,,,,20568,41.136000,1
window_counter,uitree_apply_hook,,,,,14111,28.222000,1
window_counter,uitree_apply_other,,,,,266178,532.356000,1
window_gauge,uitree_components,,,,,10119,10119.000000,1
window_gauge,uitree_capacity,,,,,16384,16384.000000,1
window_gauge,uitree_node_bytes,,,,,28442624,28442624.000000,1
window_counter,cs2_scripts,,,,,3575,7.150000,1
window_counter,cs2_opcodes,,,,,1356070,2712.140000,1
window_counter,cs2_host_ops,,,,,195156,390.312000,1
window_counter,cs2_cycles,,,,,1356070,2712.140000,1
window_counter,cs2_aborts,,,,,3,0.006000,1
window_counter,cs2_vm_acquire,,,,,3377,6.754000,1
window_counter,cs2_vm_pool_hit,,,,,3377,6.754000,1
window_counter,cs2_vm_init_ns,,,,,4714000,9428.000000,1
window_counter,cs2_frame_pool_hit,,,,,7562,15.124000,1
