kind,name,mean_ns,p50_ns,p95_ns,max_ns,total,per_frame,window
window_stage,frame,14663520,4003000,7488000,4765093000,,,0
window_stage,async,696118,1000,351000,73880000,,,0
window_stage,logic,1608074,203000,1365000,271728000,,,0
window_stage,cs2,1461516,0,1195000,271259000,,,0
window_stage,layout,1572,0,1000,214000,,,0
window_stage,interact,19572,20000,31000,89000,,,0
window_stage,emit,139350,142000,325000,567000,,,0
window_stage,paint,342216,426000,720000,848000,,,0
window_stage,build,342352,426000,720000,849000,,,0
window_stage,render,1937222,2452000,3760000,4069000,,,0
window_stage,present,139398,136000,167000,260000,,,0
window_stage,server,196722,1000,4000,93838000,,,0
window_counter,uitree_find_id,,,,,664975,1329.950000,0
window_counter,uitree_find_id_probes,,,,,3146060,6292.120000,0
window_counter,uitree_id_rebuild,,,,,208,0.416000,0
window_counter,uitree_find_child,,,,,53701,107.402000,0
window_counter,uitree_find_child_hit,,,,,37408,74.816000,0
window_counter,uitree_find_child_ceil_miss,,,,,15381,30.762000,0
window_counter,uitree_walk_emit,,,,,1051527,2103.054000,0
window_counter,uitree_walk_hit,,,,,251633,503.266000,0
window_counter,uitree_walk_hover,,,,,42766,85.532000,0
window_counter,uitree_emit_skip,,,,,984381,1968.762000,0
window_counter,uitree_layout_resolve,,,,,498,0.996000,0
window_counter,uitree_layout_skip,,,,,238,0.476000,0
window_counter,uitree_layout_nodes,,,,,2013386,4026.772000,0
window_counter,uitree_layout_node_skip,,,,,1785323,3570.646000,0
window_counter,uitree_layout_depth_recompute,,,,,214,0.428000,0
window_counter,uitree_ensure_layout,,,,,9959,19.918000,0
window_counter,uitree_cc_create,,,,,14393,28.786000,0
window_counter,uitree_cc_delete,,,,,2,0.004000,0
window_counter,uitree_cc_deleteall,,,,,610,1.220000,0
window_counter,uitree_cc_deleteall_rows,,,,,6580,13.160000,0
window_counter,uitree_apply_geo,,,,,35443,70.886000,0
window_counter,uitree_apply_content,,,,,42228,84.456000,0
window_counter,uitree_apply_hook,,,,,25562,51.124000,0
window_counter,uitree_apply_other,,,,,239811,479.622000,0
window_gauge,uitree_components,,,,,9708,9708.000000,0
window_gauge,uitree_capacity,,,,,16384,16384.000000,0
window_gauge,uitree_free_list,,,,,1,1.000000,0
window_gauge,uitree_node_bytes,,,,,28442624,28442624.000000,0
window_counter,cs2_scripts,,,,,6441,12.882000,0
window_counter,cs2_opcodes,,,,,3120202,6240.404000,0
window_counter,cs2_host_ops,,,,,453906,907.812000,0
window_counter,cs2_cycles,,,,,3120202,6240.404000,0
window_counter,cs2_aborts,,,,,38,0.076000,0
window_counter,cs2_vm_acquire,,,,,4222,8.444000,0
window_counter,cs2_vm_pool_hit,,,,,4220,8.440000,0
window_counter,cs2_vm_pool_miss,,,,,2,0.004000,0
window_counter,cs2_vm_init_ns,,,,,3123000,6246.000000,0
window_counter,cs2_frame_pool_hit,,,,,13890,27.780000,0
window_counter,cs2_frame_pool_miss,,,,,128,0.256000,0
window_counter,cache_model_hit,,,,,52577,105.154000,0
window_counter,cache_model_miss,,,,,2215,4.430000,0
window_counter,cache_sprite_hit,,,,,3529,7.058000,0
window_counter,cache_sprite_miss,,,,,969,1.938000,0
window_counter,painter_pops,,,,,2150416,4300.832000,0
window_counter,painter_gate_rejects,,,,,938047,1876.094000,0
window_counter,painter_pushes,,,,,2150416,4300.832000,0
window_counter,painter_push_dedup,,,,,919484,1838.968000,0
window_counter,painter_drain_events,,,,,1256,2.512000,0
window_gauge,painter_commands,,,,,3647,3647.000000,0
window_gauge,painter_tiles_remaining_set,,,,,2916,2916.000000,0
window_gauge,zone_map_count,,,,,48,48.000000,0
window_gauge,zone_map_capacity,,,,,256,256.000000,0
window_gauge,npc_slot_max,,,,,65,65.000000,0
window_counter,iface_open,,,,,31,0.062000,0
window_counter,iface_close,,,,,6,0.012000,0
window_counter,iface_bake,,,,,26,0.052000,0
window_counter,iface_bake_reuse,,,,,5,0.010000,0
window_counter,iface_mount_ns,,,,,8995000,17990.000000,0
window_counter,iface_close_ns,,,,,264000,528.000000,0
window_counter,uitree_anim_scan,,,,,308,0.616000,0
window_counter,uitree_anim_scan_nodes,,,,,614,1.228000,0
window_counter,uitree_anim_model_nodes,,,,,614,1.228000,0
window_counter,iface_group_scan_nodes,,,,,6214,12.428000,0
window_stage,frame,4609390,4364000,6379000,31320000,,,1
window_stage,async,107572,2000,207000,26735000,,,1
window_stage,logic,444444,234000,974000,6879000,,,1
window_stage,cs2,213886,0,687000,6604000,,,1
window_stage,layout,486,0,1000,201000,,,1
window_stage,interact,25464,23000,34000,599000,,,1
window_stage,emit,245738,224000,386000,2769000,,,1
window_stage,paint,474274,457000,547000,1751000,,,1
window_stage,build,474560,457000,548000,1751000,,,1
window_stage,render,2856608,2776000,3472000,7087000,,,1
window_stage,present,141484,138000,163000,497000,,,1
window_stage,server,3350,1000,3000,283000,,,1
window_counter,uitree_find_id,,,,,304499,608.998000,1
window_counter,uitree_find_id_probes,,,,,569270,1138.540000,1
window_counter,uitree_id_rebuild,,,,,18,0.036000,1
window_counter,uitree_find_child,,,,,3951,7.902000,1
window_counter,uitree_find_child_hit,,,,,2479,4.958000,1
window_counter,uitree_find_child_ceil_miss,,,,,1438,2.876000,1
window_counter,uitree_walk_emit,,,,,1586365,3172.730000,1
window_counter,uitree_walk_hit,,,,,355000,710.000000,1
window_counter,uitree_walk_hover,,,,,52500,105.000000,1
window_counter,uitree_emit_skip,,,,,1378395,2756.790000,1
window_counter,uitree_layout_resolve,,,,,303,0.606000,1
window_counter,uitree_layout_skip,,,,,147,0.294000,1
window_counter,uitree_layout_nodes,,,,,1558661,3117.322000,1
window_counter,uitree_layout_node_skip,,,,,1507531,3015.062000,1
window_counter,uitree_layout_depth_recompute,,,,,152,0.304000,1
window_counter,uitree_ensure_layout,,,,,7434,14.868000,1
window_counter,uitree_cc_create,,,,,1303,2.606000,1
window_counter,uitree_cc_delete,,,,,1,0.002000,1
window_counter,uitree_cc_deleteall,,,,,172,0.344000,1
window_counter,uitree_cc_deleteall_rows,,,,,909,1.818000,1
window_counter,uitree_apply_geo,,,,,8410,16.820000,1
window_counter,uitree_apply_content,,,,,10166,20.332000,1
window_counter,uitree_apply_hook,,,,,998,1.996000,1
window_counter,uitree_apply_other,,,,,253487,506.974000,1
window_gauge,uitree_components,,,,,10119,10119.000000,1
window_gauge,uitree_capacity,,,,,16384,16384.000000,1
window_gauge,uitree_node_bytes,,,,,28442624,28442624.000000,1
window_counter,cs2_scripts,,,,,3353,6.706000,1
window_counter,cs2_opcodes,,,,,480298,960.596000,1
window_counter,cs2_host_ops,,,,,65861,131.722000,1
window_counter,cs2_cycles,,,,,480298,960.596000,1
window_counter,cs2_aborts,,,,,1,0.002000,1
window_counter,cs2_vm_acquire,,,,,3157,6.314000,1
window_counter,cs2_vm_pool_hit,,,,,3157,6.314000,1
window_counter,cs2_vm_init_ns,,,,,2489000,4978.000000,1
window_counter,cs2_frame_pool_hit,,,,,6660,13.320000,1
window_counter,cache_model_hit,,,,,233,0.466000,1
window_counter,cache_model_miss,,,,,1,0.002000,1
window_counter,cache_sprite_hit,,,,,369,0.738000,1
window_counter,cache_sprite_miss,,,,,151,0.302000,1
window_counter,painter_pops,,,,,2869497,5738.994000,1
window_counter,painter_gate_rejects,,,,,1249454,2498.908000,1
window_counter,painter_pushes,,,,,2869497,5738.994000,1
window_counter,painter_push_dedup,,,,,1201176,2402.352000,1
window_counter,painter_drain_events,,,,,2000,4.000000,1
window_gauge,painter_commands,,,,,3647,3647.000000,1
window_gauge,painter_tiles_remaining_set,,,,,2916,2916.000000,1
window_gauge,zone_map_count,,,,,51,51.000000,1
window_gauge,zone_map_capacity,,,,,256,256.000000,1
window_gauge,npc_slot_max,,,,,65,65.000000,1
window_counter,iface_open,,,,,1,0.002000,1
window_counter,iface_close,,,,,1,0.002000,1
window_counter,iface_bake,,,,,1,0.002000,1
window_counter,iface_mount_ns,,,,,79000,158.000000,1
window_counter,uitree_anim_scan,,,,,294,0.588000,1
window_counter,uitree_anim_scan_nodes,,,,,882,1.764000,1
window_counter,uitree_anim_model_nodes,,,,,882,1.764000,1
window_counter,iface_group_scan_nodes,,,,,141,0.282000,1
window_stage,frame,4686876,4358000,5658000,83314000,,,2
window_stage,async,140234,2000,202000,24435000,,,2
window_stage,logic,566574,234000,918000,78727000,,,2
