kind,name,mean_ns,p50_ns,p95_ns,max_ns,total,per_frame
meta,total_frames,,,,,,45000,
meta,frames_over_20ms,,,,,,25,
meta,eff_fps,,,,,,245.815,
stage,frame,4068102,4012000,4588000,7724000,,
stage,async,55464,1000,222000,554000,,
stage,logic,212139,182000,374000,630000,,
stage,cs2,51095,0,223000,407000,,
stage,layout,57,0,1000,1000,,
stage,interact,17091,16000,26000,89000,,
stage,emit,117618,107000,192000,336000,,
stage,paint,332557,328000,370000,551000,,
stage,build,332672,328000,370000,551000,,
stage,render,2998413,2966000,3313000,4075000,,
stage,present,137526,135000,151000,247000,,
stage,server,2259,1000,3000,150000,,
counter,uitree_find_id,,,,,1143955,558.571777
counter,uitree_find_id_probes,,,,,2020610,986.625977
counter,uitree_find_id_linear,,,,,0,0.000000
counter,uitree_id_rebuild,,,,,0,0.000000
counter,uitree_find_child,,,,,11920,5.820312
counter,uitree_find_child_hit,,,,,3520,1.718750
counter,uitree_find_child_ceil_miss,,,,,8400,4.101562
counter,uitree_walk_emit,,,,,5885952,2874.000000
counter,uitree_walk_emit_drag,,,,,0,0.000000
counter,uitree_walk_hit,,,,,1454080,710.000000
counter,uitree_walk_hover,,,,,212992,104.000000
counter,uitree_walk_drop,,,,,0,0.000000
counter,uitree_emit_skip,,,,,5578752,2724.000000
counter,uitree_layout_resolve,,,,,1092,0.533203
counter,uitree_layout_skip,,,,,546,0.266602
counter,uitree_layout_nodes,,,,,3872232,1890.738281
counter,uitree_layout_node_skip,,,,,3870322,1889.805664
counter,uitree_layout_depth_recompute,,,,,546,0.266602
counter,uitree_ensure_layout,,,,,31421,15.342285
counter,uitree_cc_create,,,,,0,0.000000
counter,uitree_cc_delete,,,,,0,0.000000
counter,uitree_cc_deleteall,,,,,546,0.266602
counter,uitree_cc_deleteall_rows,,,,,0,0.000000
counter,uitree_apply_geo,,,,,17343,8.468262
counter,uitree_apply_content,,,,,13313,6.500488
counter,uitree_apply_hook,,,,,1036,0.505859
counter,uitree_apply_other,,,,,1027764,501.837891
counter,uitree_key_scan,,,,,0,0.000000
counter,uitree_key_scan_nodes,,,,,0,0.000000
counter,uitree_components,,,,,14524416,7092.000000
counter,uitree_capacity,,,,,16777216,8192.000000
counter,uitree_free_list,,,,,6144,3.000000
counter,uitree_node_bytes,,,,,28856811520,14090240.000000
counter,cs2_scripts,,,,,16380,7.998047
counter,cs2_opcodes,,,,,1488578,726.844727
counter,cs2_host_ops,,,,,199078,97.206055
counter,cs2_cycles,,,,,1488578,726.844727
counter,cs2_aborts,,,,,0,0.000000
counter,cs2_vm_acquire,,,,,16380,7.998047
counter,cs2_vm_pool_hit,,,,,16380,7.998047
counter,cs2_vm_pool_miss,,,,,0,0.000000
counter,cs2_vm_init_ns,,,,,12066000,5891.601562
counter,cs2_frame_pool_hit,,,,,32086,15.666992
counter,cs2_frame_pool_miss,,,,,0,0.000000
counter,cache_model_hit,,,,,0,0.000000
counter,cache_model_miss,,,,,0,0.000000
counter,cache_model_evict,,,,,0,0.000000
counter,cache_sprite_hit,,,,,6,0.002930
counter,cache_sprite_miss,,,,,0,0.000000
counter,cache_sprite_evict,,,,,0,0.000000
counter,cache_texture_hit,,,,,0,0.000000
counter,cache_texture_miss,,,,,0,0.000000
counter,cache_objtype_hit,,,,,0,0.000000
counter,cache_objtype_miss,,,,,0,0.000000
counter,cache_npctype_hit,,,,,0,0.000000
counter,cache_npctype_miss,,,,,0,0.000000
counter,cache_loc_hit,,,,,0,0.000000
counter,cache_loc_miss,,,,,0,0.000000
counter,cache_other_hit,,,,,0,0.000000
counter,cache_other_miss,,,,,0,0.000000
counter,cache_group_hit,,,,,0,0.000000
counter,cache_group_miss,,,,,0,0.000000
counter,cache_group_evict,,,,,0,0.000000
counter,cache_archive_hit,,,,,0,0.000000
counter,cache_archive_miss,,,,,0,0.000000
counter,cache_archive_evict,,,,,0,0.000000
counter,model_inst_hit,,,,,0,0.000000
counter,model_inst_miss,,,,,0,0.000000
counter,model_inst_evict,,,,,0,0.000000
counter,painter_pops,,,,,17199104,8398.000000
counter,painter_gate_rejects,,,,,7505920,3665.000000
counter,painter_pushes,,,,,17199104,8398.000000
counter,painter_push_dedup,,,,,7532544,3678.000000
counter,painter_drain_events,,,,,8192,4.000000
counter,painter_commands,,,,,11145216,5442.000000
counter,painter_tiles_remaining_set,,,,,8857600,4325.000000
counter,scene_elements,,,,,32634966,15935.041992
counter,scene_anim_list,,,,,168714,82.379883
counter,zone_map_count,,,,,129024,63.000000
counter,zone_map_capacity,,,,,524288,256.000000
counter,npc_slot_max,,,,,133120,65.000000
counter,cache_model_size,,,,,621894,303.659180
counter,cache_sprite_size,,,,,303576,148.230469
