kind,name,mean_ns,p50_ns,p95_ns,max_ns,total,per_frame
meta,total_frames,,,,,,1200,
meta,frames_over_20ms,,,,,,15,
meta,eff_fps,,,,,,101.176,
stage,frame,9883779,5243000,5986000,5425282000,,
stage,async,288865,2000,181000,88652000,,
stage,logic,629347,83000,492000,117002000,,
stage,cs2,555380,0,403000,116838000,,
stage,layout,381,0,1000,157000,,
stage,interact,19012,19000,28000,66000,,
stage,emit,194560,195000,355000,700000,,
stage,paint,552556,621000,712000,1879000,,
stage,build,552716,621000,712000,1880000,,
stage,render,3364397,3808000,4227000,5320000,,
stage,present,140654,138000,156000,384000,,
stage,server,82650,1000,2000,93709000,,
counter,uitree_find_id,,,,,825564,687.970000
counter,uitree_find_id_probes,,,,,2099472,1749.560000
counter,uitree_find_id_linear,,,,,0,0.000000
counter,uitree_id_rebuild,,,,,498,0.415000
counter,uitree_find_child,,,,,27228,22.690000
counter,uitree_find_child_hit,,,,,15837,13.197500
counter,uitree_find_child_ceil_miss,,,,,10748,8.956667
counter,uitree_walk_emit,,,,,3307304,2756.086667
counter,uitree_walk_emit_drag,,,,,0,0.000000
counter,uitree_walk_hit,,,,,675725,563.104167
counter,uitree_walk_hover,,,,,108205,90.170833
counter,uitree_walk_drop,,,,,0,0.000000
counter,uitree_emit_skip,,,,,2929453,2441.210833
counter,uitree_layout_resolve,,,,,959,0.799167
counter,uitree_layout_skip,,,,,461,0.384167
counter,uitree_layout_nodes,,,,,3416507,2847.089167
counter,uitree_layout_node_skip,,,,,3298522,2748.768333
counter,uitree_layout_depth_recompute,,,,,484,0.403333
counter,uitree_ensure_layout,,,,,23248,19.373333
counter,uitree_cc_create,,,,,11054,9.211667
counter,uitree_cc_delete,,,,,0,0.000000
counter,uitree_cc_deleteall,,,,,783,0.652500
counter,uitree_cc_deleteall_rows,,,,,5022,4.185000
counter,uitree_apply_geo,,,,,27595,22.995833
counter,uitree_apply_content,,,,,31379,26.149167
counter,uitree_apply_hook,,,,,8398,6.998333
counter,uitree_apply_other,,,,,568189,473.490833
counter,uitree_key_scan,,,,,0,0.000000
counter,uitree_key_scan_nodes,,,,,0,0.000000
counter,uitree_components,,,,,7798176,6498.480000
counter,uitree_capacity,,,,,8673280,7227.733333
counter,uitree_free_list,,,,,0,0.000000
counter,uitree_node_bytes,,,,,18040422400,15033685.333333
counter,cs2_scripts,,,,,11266,9.388333
counter,cs2_opcodes,,,,,2416859,2014.049167
