kind,name,mean_ns,p50_ns,p95_ns,max_ns,total,per_frame
meta,total_frames,,,,,,900,
meta,frames_over_20ms,,,,,,14,
meta,eff_fps,,,,,,59.161,
stage,frame,16902951,7356000,8213000,4773247000,,
stage,async,284766,66000,304000,88059000,,
stage,logic,5067611,167000,452000,1347433000,,
stage,cs2,4926174,0,277000,1347172000,,
stage,layout,141504,0,520000,847000,,
stage,interact,19590,21000,29000,41000,,
stage,emit,337526,384000,455000,609000,,
stage,paint,742493,861000,929000,1046000,,
stage,build,742626,861000,930000,1047000,,
stage,render,2951190,3390000,3707000,6200000,,
stage,present,229973,228000,247000,369000,,
counter,uitree_find_id,,,,,610822,678.691111
counter,uitree_find_id_probes,,,,,1719064,1910.071111
counter,uitree_find_id_linear,,,,,0,0.000000
counter,uitree_id_rebuild,,,,,33,0.036667
counter,uitree_find_child,,,,,25221,28.023333
counter,uitree_find_child_hit,,,,,12916,14.351111
counter,uitree_find_child_ceil_miss,,,,,11755,13.061111
counter,uitree_walk_emit,,,,,2206678,2451.864444
counter,uitree_walk_emit_drag,,,,,2704577,3005.085556
counter,uitree_walk_hit,,,,,551450,612.722222
counter,uitree_walk_hover,,,,,85292,94.768889
counter,uitree_walk_drop,,,,,0,0.000000
counter,uitree_emit_skip,,,,,4063497,4514.996667
counter,uitree_layout_resolve,,,,,1552,1.724444
counter,uitree_layout_nodes,,,,,10396771,11551.967778
counter,uitree_layout_depth_recompute,,,,,381,0.423333
counter,uitree_ensure_layout,,,,,21024,23.360000
counter,uitree_cc_create,,,,,7274,8.082222
counter,uitree_cc_delete,,,,,3,0.003333
counter,uitree_cc_deleteall,,,,,523,0.581111
counter,uitree_cc_deleteall_rows,,,,,1829,2.032222
counter,uitree_apply_geo,,,,,21237,23.596667
counter,uitree_apply_content,,,,,23713,26.347778
counter,uitree_apply_hook,,,,,5749,6.387778
counter,uitree_apply_other,,,,,419562,466.180000
counter,uitree_key_scan,,,,,0,0.000000
counter,uitree_key_scan_nodes,,,,,0,0.000000
counter,uitree_components,,,,,5459328,6065.920000
counter,uitree_capacity,,,,,6338560,7042.844444
counter,uitree_free_list,,,,,1458,1.620000
counter,uitree_node_bytes,,,,,75504926720,83894363.022222
counter,cs2_scripts,,,,,12295,13.661111
counter,cs2_opcodes,,,,,2114029,2348.921111
counter,cs2_host_ops,,,,,285896,317.662222
counter,cs2_cycles,,,,,2114029,2348.921111
counter,cs2_aborts,,,,,0,0.000000
counter,cs2_vm_acquire,,,,,10240,11.377778
counter,cs2_vm_pool_hit,,,,,10238,11.375556
counter,cs2_vm_pool_miss,,,,,2,0.002222
counter,cs2_vm_init_ns,,,,,6562000,7291.111111
counter,cache_model_hit,,,,,24835,27.594444
counter,cache_model_miss,,,,,2193,2.436667
counter,cache_model_evict,,,,,0,0.000000
counter,cache_sprite_hit,,,,,2477,2.752222
counter,cache_sprite_miss,,,,,911,1.012222
counter,cache_sprite_evict,,,,,0,0.000000
counter,cache_texture_hit,,,,,0,0.000000
counter,cache_texture_miss,,,,,0,0.000000
counter,cache_objtype_hit,,,,,0,0.000000
counter,cache_objtype_miss,,,,,0,0.000000
counter,cache_npctype_hit,,,,,0,0.000000
counter,cache_npctype_miss,,,,,0,0.000000
counter,cache_loc_hit,,,,,0,0.000000
counter,cache_loc_miss,,,,,0,0.000000
counter,cache_other_hit,,,,,0,0.000000
counter,cache_other_miss,,,,,0,0.000000
counter,cache_group_hit,,,,,0,0.000000
counter,cache_group_miss,,,,,0,0.000000
counter,cache_group_evict,,,,,0,0.000000
counter,cache_archive_hit,,,,,0,0.000000
counter,cache_archive_miss,,,,,0,0.000000
counter,cache_archive_evict,,,,,0,0.000000
counter,model_inst_hit,,,,,0,0.000000
counter,model_inst_miss,,,,,0,0.000000
counter,model_inst_evict,,,,,0,0.000000
