kind,name,mean_ns,p50_ns,p95_ns,max_ns,total,per_frame,window
window_stage,frame,16835456,4222000,5260000,5958420000,,,0
window_stage,async,520192,1000,256000,87398000,,,0
window_stage,logic,1505286,189000,641000,281371000,,,0
window_stage,cs2,1357908,0,473000,280386000,,,0
window_stage,layout,600,0,1000,129000,,,0
window_stage,interact,19052,21000,30000,77000,,,0
window_stage,emit,130724,137000,284000,385000,,,0
window_stage,paint,243430,345000,388000,834000,,,0
window_stage,build,243604,345000,388000,835000,,,0
window_stage,render,2143570,3016000,3353000,4024000,,,0
window_stage,present,140932,138000,156000,388000,,,0
window_stage,server,207990,1000,2000,99247000,,,0
window_counter,uitree_find_id,,,,,403337,806.674000,0
window_counter,uitree_find_id_probes,,,,,1259545,2519.090000,0
window_counter,uitree_id_rebuild,,,,,158,0.316000,0
window_counter,uitree_find_child,,,,,26981,53.962000,0
window_counter,uitree_find_child_hit,,,,,15900,31.800000,0
window_counter,uitree_find_child_ceil_miss,,,,,10496,20.992000,0
window_counter,uitree_walk_emit,,,,,1023007,2046.014000,0
window_counter,uitree_walk_hit,,,,,259590,519.180000,0
window_counter,uitree_walk_hover,,,,,42948,85.896000,0
window_counter,uitree_emit_skip,,,,,967075,1934.150000,0
window_counter,uitree_layout_resolve,,,,,434,0.868000,0
window_counter,uitree_layout_skip,,,,,215,0.430000,0
window_counter,uitree_layout_nodes,,,,,1313093,2626.186000,0
window_counter,uitree_layout_node_skip,,,,,1176860,2353.720000,0
window_counter,uitree_layout_depth_recompute,,,,,201,0.402000,0
window_counter,uitree_ensure_layout,,,,,9888,19.776000,0
window_counter,uitree_cc_create,,,,,9209,18.418000,0
window_counter,uitree_cc_delete,,,,,1,0.002000,0
window_counter,uitree_cc_deleteall,,,,,372,0.744000,0
window_counter,uitree_cc_deleteall_rows,,,,,3649,7.298000,0
window_counter,uitree_apply_geo,,,,,20635,41.270000,0
window_counter,uitree_apply_content,,,,,24246,48.492000,0
window_counter,uitree_apply_hook,,,,,6013,12.026000,0
window_counter,uitree_apply_other,,,,,218735,437.470000,0
window_gauge,uitree_components,,,,,7092,7092.000000,0
window_gauge,uitree_capacity,,,,,8192,8192.000000,0
window_gauge,uitree_free_list,,,,,1,1.000000,0
window_gauge,uitree_node_bytes,,,,,14221312,14221312.000000,0
window_counter,cs2_scripts,,,,,6466,12.932000,0
window_counter,cs2_opcodes,,,,,1752592,3505.184000,0
window_counter,cs2_host_ops,,,,,243946,487.892000,0
window_counter,cs2_cycles,,,,,1752592,3505.184000,0
window_counter,cs2_vm_acquire,,,,,4376,8.752000,0
window_counter,cs2_vm_pool_hit,,,,,4374,8.748000,0
window_counter,cs2_vm_pool_miss,,,,,2,0.004000,0
window_counter,cs2_vm_init_ns,,,,,2897000,5794.000000,0
window_counter,cs2_frame_pool_hit,,,,,9704,19.408000,0
window_counter,cs2_frame_pool_miss,,,,,11,0.022000,0
window_counter,cache_model_hit,,,,,25210,50.420000,0
window_counter,cache_model_miss,,,,,2193,4.386000,0
window_counter,cache_sprite_hit,,,,,2665,5.330000,0
window_counter,cache_sprite_miss,,,,,911,1.822000,0
window_counter,painter_pops,,,,,2842148,5684.296000,0
window_counter,painter_gate_rejects,,,,,1241577,2483.154000,0
window_counter,painter_pushes,,,,,2842148,5684.296000,0
window_counter,painter_push_dedup,,,,,1242059,2484.118000,0
window_counter,painter_drain_events,,,,,1352,2.704000,0
window_gauge,painter_commands,,,,,5443,5443.000000,0
window_gauge,painter_tiles_remaining_set,,,,,4325,4325.000000,0
window_gauge,scene_elements,,,,,59771,59771.000000,0
window_gauge,scene_anim_list,,,,,309,309.000000,0
window_gauge,zone_map_count,,,,,46,46.000000,0
window_gauge,zone_map_capacity,,,,,256,256.000000,0
window_gauge,npc_slot_max,,,,,65,65.000000,0
window_gauge,cache_model_size,,,,,1139,1139.000000,0
window_gauge,cache_sprite_size,,,,,556,556.000000,0
window_stage,frame,4728040,4473000,6041000,23547000,,,1
window_stage,async,64064,2000,204000,1488000,,,1
window_stage,logic,274112,227000,416000,4959000,,,1
window_stage,cs2,53786,0,162000,2709000,,,1
window_stage,layout,98,0,1000,1000,,,1
window_stage,interact,26864,25000,32000,579000,,,1
window_stage,emit,203096,187000,301000,1568000,,,1
window_stage,paint,386666,360000,417000,2855000,,,1
window_stage,build,386930,360000,418000,2856000,,,1
window_stage,render,3346658,3173000,4165000,16033000,,,1
window_stage,present,144460,140000,158000,416000,,,1
window_stage,server,1974,1000,2000,110000,,,1
window_counter,uitree_find_id,,,,,287990,575.980000,1
window_counter,uitree_find_id_probes,,,,,531607,1063.214000,1
window_counter,uitree_id_rebuild,,,,,2,0.004000,1
window_counter,uitree_find_child,,,,,3240,6.480000,1
window_counter,uitree_find_child_hit,,,,,969,1.938000,1
window_counter,uitree_find_child_ceil_miss,,,,,2271,4.542000,1
window_counter,uitree_walk_emit,,,,,1437156,2874.312000,1
window_counter,uitree_walk_hit,,,,,355000,710.000000,1
window_counter,uitree_walk_hover,,,,,52000,104.000000,1
window_counter,uitree_emit_skip,,,,,1358501,2717.002000,1
window_counter,uitree_layout_resolve,,,,,302,0.604000,1
window_counter,uitree_layout_skip,,,,,149,0.298000,1
window_counter,uitree_layout_nodes,,,,,1085076,2170.152000,1
window_counter,uitree_layout_node_skip,,,,,1056180,2112.360000,1
window_counter,uitree_layout_depth_recompute,,,,,149,0.298000,1
window_counter,uitree_ensure_layout,,,,,8595,17.190000,1
window_counter,uitree_cc_delete,,,,,2,0.004000,1
window_counter,uitree_cc_deleteall,,,,,150,0.300000,1
window_counter,uitree_apply_geo,,,,,7327,14.654000,1
window_counter,uitree_apply_content,,,,,6319,12.638000,1
window_counter,uitree_apply_hook,,,,,257,0.514000,1
window_counter,uitree_apply_other,,,,,251028,502.056000,1
window_gauge,uitree_components,,,,,7092,7092.000000,1
window_gauge,uitree_capacity,,,,,8192,8192.000000,1
window_gauge,uitree_free_list,,,,,3,3.000000,1
window_gauge,uitree_node_bytes,,,,,14221312,14221312.000000,1
window_counter,cs2_scripts,,,,,4500,9.000000,1
window_counter,cs2_opcodes,,,,,401464,802.928000,1
window_counter,cs2_host_ops,,,,,53951,107.902000,1
window_counter,cs2_cycles,,,,,401464,802.928000,1
window_counter,cs2_vm_acquire,,,,,4500,9.000000,1
window_counter,cs2_vm_pool_hit,,,,,4500,9.000000,1
window_counter,cs2_vm_init_ns,,,,,3074000,6148.000000,1
window_counter,cs2_frame_pool_hit,,,,,8772,17.544000,1
window_counter,cache_sprite_hit,,,,,1,0.002000,1
window_counter,painter_pops,,,,,4204830,8409.660000,1
window_counter,painter_gate_rejects,,,,,1836615,3673.230000,1
window_counter,painter_pushes,,,,,4204830,8409.660000,1
window_counter,painter_push_dedup,,,,,1836474,3672.948000,1
window_counter,painter_drain_events,,,,,2000,4.000000,1
window_gauge,painter_commands,,,,,5443,5443.000000,1
window_gauge,painter_tiles_remaining_set,,,,,4325,4325.000000,1
window_gauge,scene_elements,,,,,59771,59771.000000,1
window_gauge,scene_anim_list,,,,,309,309.000000,1
window_gauge,zone_map_count,,,,,46,46.000000,1
window_gauge,zone_map_capacity,,,,,256,256.000000,1
window_gauge,npc_slot_max,,,,,65,65.000000,1
window_gauge,cache_model_size,,,,,1139,1139.000000,1
window_gauge,cache_sprite_size,,,,,556,556.000000,1
window_stage,frame,4396244,4384000,4846000,5570000,,,2
window_stage,async,54368,2000,194000,562000,,,2
window_stage,logic,240656,215000,400000,628000,,,2
window_stage,cs2,42518,0,154000,417000,,,2
window_stage,layout,94,0,1000,1000,,,2
window_stage,interact,23180,22000,30000,80000,,,2
window_stage,emit,182034,168000,287000,333000,,,2
window_stage,paint,356466,355000,385000,647000,,,2
window_stage,build,356682,355000,385000,647000,,,2
window_stage,render,3144254,3134000,3429000,3692000,,,2
window_stage,present,141714,139000,154000,261000,,,2
window_stage,server,1650,1000,2000,102000,,,2
window_counter,uitree_find_id,,,,,290506,581.012000,2
window_counter,uitree_find_id_probes,,,,,526875,1053.750000,2
window_counter,uitree_find_child,,,,,3120,6.240000,2
window_counter,uitree_find_child_hit,,,,,930,1.860000,2
window_counter,uitree_find_child_ceil_miss,,,,,2190,4.380000,2
window_counter,uitree_walk_emit,,,,,1437000,2874.000000,2
window_counter,uitree_walk_hit,,,,,355000,710.000000,2
window_counter,uitree_walk_hover,,,,,52000,104.000000,2
window_counter,uitree_emit_skip,,,,,1356684,2713.368000,2
window_counter,uitree_layout_resolve,,,,,286,0.572000,2
window_counter,uitree_layout_skip,,,,,141,0.282000,2
window_counter,uitree_layout_nodes,,,,,1028340,2056.680000,2
window_counter,uitree_layout_node_skip,,,,,1006560,2013.120000,2
window_counter,uitree_layout_depth_recompute,,,,,142,0.284000,2
window_counter,uitree_ensure_layout,,,,,8150,16.300000,2
window_counter,uitree_cc_deleteall,,,,,142,0.284000,2
window_counter,uitree_apply_geo,,,,,9120,18.240000,2
window_counter,uitree_apply_content,,,,,8120,16.240000,2
window_counter,uitree_apply_hook,,,,,282,0.564000,2
window_counter,uitree_apply_other,,,,,250988,501.976000,2
window_gauge,uitree_components,,,,,7092,7092.000000,2
window_gauge,uitree_capacity,,,,,8192,8192.000000,2
window_gauge,uitree_free_list,,,,,3,3.000000,2
window_gauge,uitree_node_bytes,,,,,14221312,14221312.000000,2
window_counter,cs2_scripts,,,,,4260,8.520000,2
window_counter,cs2_opcodes,,,,,390627,781.254000,2
window_counter,cs2_host_ops,,,,,52069,104.138000,2
window_counter,cs2_cycles,,,,,390627,781.254000,2
window_counter,cs2_vm_acquire,,,,,4260,8.520000,2
window_counter,cs2_vm_pool_hit,,,,,4260,8.520000,2
window_counter,cs2_vm_init_ns,,,,,2682000,5364.000000,2
window_counter,cs2_frame_pool_hit,,,,,8354,16.708000,2
window_counter,cache_sprite_hit,,,,,2,0.004000,2
window_counter,painter_pops,,,,,4203321,8406.642000,2
window_counter,painter_gate_rejects,,,,,1835708,3671.416000,2
window_counter,painter_pushes,,,,,4203321,8406.642000,2
window_counter,painter_push_dedup,,,,,1836758,3673.516000,2
window_counter,painter_drain_events,,,,,2000,4.000000,2
window_gauge,painter_commands,,,,,5443,5443.000000,2
window_gauge,painter_tiles_remaining_set,,,,,4325,4325.000000,2
window_gauge,zone_map_count,,,,,48,48.000000,2
window_gauge,zone_map_capacity,,,,,256,256.000000,2
window_gauge,npc_slot_max,,,,,65,65.000000,2
window_stage,frame,4636744,4481000,5723000,10930000,,,3
window_stage,async,63760,2000,211000,1022000,,,3
window_stage,logic,279948,226000,431000,2806000,,,3
window_stage,cs2,49438,0,161000,598000,,,3
window_stage,layout,114,0,1000,1000,,,3
window_stage,interact,26156,25000,34000,124000,,,3
window_stage,emit,202508,189000,305000,692000,,,3
window_stage,paint,379814,362000,441000,1749000,,,3
window_stage,build,380098,362000,441000,1750000,,,3
window_stage,render,3266206,3174000,3851000,6566000,,,3
window_stage,present,143182,141000,155000,317000,,,3
window_stage,server,1610,1000,2000,84000,,,3
window_counter,uitree_find_id,,,,,294975,589.950000,3
window_counter,uitree_find_id_probes,,,,,542038,1084.076000,3
window_counter,uitree_find_child,,,,,3220,6.440000,3
window_counter,uitree_find_child_hit,,,,,955,1.910000,3
window_counter,uitree_find_child_ceil_miss,,,,,2265,4.530000,3
window_counter,uitree_walk_emit,,,,,1437000,2874.000000,3
window_counter,uitree_walk_hit,,,,,355000,710.000000,3
window_counter,uitree_walk_hover,,,,,52000,104.000000,3
window_counter,uitree_emit_skip,,,,,1354864,2709.728000,3
window_counter,uitree_layout_resolve,,,,,299,0.598000,3
window_counter,uitree_layout_skip,,,,,148,0.296000,3
window_counter,uitree_layout_nodes,,,,,1070892,2141.784000,3
window_counter,uitree_layout_node_skip,,,,,1042006,2084.012000,3
window_counter,uitree_layout_depth_recompute,,,,,147,0.294000,3
window_counter,uitree_ensure_layout,,,,,8414,16.828000,3
window_counter,uitree_cc_deleteall,,,,,147,0.294000,3
window_counter,uitree_apply_geo,,,,,10952,21.904000,3
window_counter,uitree_apply_content,,,,,9963,19.926000,3
window_counter,uitree_apply_hook,,,,,287,0.574000,3
window_counter,uitree_apply_other,,,,,251010,502.020000,3
window_gauge,uitree_components,,,,,7092,7092.000000,3
window_gauge,uitree_capacity,,,,,8192,8192.000000,3
window_gauge,uitree_free_list,,,,,3,3.000000,3
window_gauge,uitree_node_bytes,,,,,14221312,14221312.000000,3
window_counter,cs2_scripts,,,,,4410,8.820000,3
window_counter,cs2_opcodes,,,,,402797,805.594000,3
window_counter,cs2_host_ops,,,,,53786,107.572000,3
window_counter,cs2_cycles,,,,,402797,805.594000,3
window_counter,cs2_vm_acquire,,,,,4410,8.820000,3
window_counter,cs2_vm_pool_hit,,,,,4410,8.820000,3
window_counter,cs2_vm_init_ns,,,,,3102000,6204.000000,3
window_counter,cs2_frame_pool_hit,,,,,8644,17.288000,3
window_counter,cache_sprite_hit,,,,,1,0.002000,3
window_counter,painter_pops,,,,,4204082,8408.164000,3
window_counter,painter_gate_rejects,,,,,1836243,3672.486000,3
window_counter,painter_pushes,,,,,4204082,8408.164000,3
window_counter,painter_push_dedup,,,,,1836602,3673.204000,3
window_counter,painter_drain_events,,,,,2000,4.000000,3
window_gauge,painter_commands,,,,,5442,5442.000000,3
window_gauge,painter_tiles_remaining_set,,,,,4325,4325.000000,3
window_gauge,scene_elements,,,,,59771,59771.000000,3
window_gauge,scene_anim_list,,,,,309,309.000000,3
window_gauge,zone_map_count,,,,,49,49.000000,3
window_gauge,zone_map_capacity,,,,,256,256.000000,3
window_gauge,npc_slot_max,,,,,65,65.000000,3
window_gauge,cache_model_size,,,,,1139,1139.000000,3
window_gauge,cache_sprite_size,,,,,556,556.000000,3
window_stage,frame,4504738,4445000,5119000,8027000,,,4
window_stage,async,58598,2000,220000,570000,,,4
window_stage,logic,255820,216000,422000,918000,,,4
window_stage,cs2,48826,0,180000,665000,,,4
window_stage,layout,104,0,1000,1000,,,4
window_stage,interact,25210,24000,33000,170000,,,4
window_stage,emit,190170,179000,295000,489000,,,4
window_stage,paint,367782,359000,418000,1190000,,,4
window_stage,build,368030,359000,418000,1191000,,,4
window_stage,render,3196082,3157000,3615000,5106000,,,4
window_stage,present,144794,141000,163000,318000,,,4
window_stage,server,1742,1000,2000,80000,,,4
window_counter,uitree_find_id,,,,,298015,596.030000,4
window_counter,uitree_find_id_probes,,,,,544281,1088.562000,4
window_counter,uitree_find_child,,,,,3140,6.280000,4
window_counter,uitree_find_child_hit,,,,,920,1.840000,4
window_counter,uitree_find_child_ceil_miss,,,,,2220,4.440000,4
window_counter,uitree_walk_emit,,,,,1437000,2874.000000,4
window_counter,uitree_walk_hit,,,,,355000,710.000000,4
window_counter,uitree_walk_hover,,,,,52000,104.000000,4
window_counter,uitree_emit_skip,,,,,1353055,2706.110000,4
window_counter,uitree_layout_resolve,,,,,293,0.586000,4
window_counter,uitree_layout_skip,,,,,144,0.288000,4
window_counter,uitree_layout_nodes,,,,,1056708,2113.416000,4
window_counter,uitree_layout_node_skip,,,,,1027846,2055.692000,4
window_counter,uitree_layout_depth_recompute,,,,,145,0.290000,4
window_counter,uitree_ensure_layout,,,,,8287,16.574000,4
window_counter,uitree_cc_deleteall,,,,,145,0.290000,4
window_counter,uitree_apply_geo,,,,,12717,25.434000,4
window_counter,uitree_apply_content,,,,,11764,23.528000,4
window_counter,uitree_apply_hook,,,,,252,0.504000,4
window_counter,uitree_apply_other,,,,,251006,502.012000,4
window_gauge,uitree_components,,,,,7092,7092.000000,4
window_gauge,uitree_capacity,,,,,8192,8192.000000,4
window_gauge,uitree_free_list,,,,,3,3.000000,4
window_gauge,uitree_node_bytes,,,,,14221312,14221312.000000,4
window_counter,cs2_scripts,,,,,4350,8.700000,4
window_counter,cs2_opcodes,,,,,390203,780.406000,4
